Total Score,Rounded Total Score,Department,Website,Twitter,Facebook,Yslow,Yslow Score,Errors,Alerts,Accessibility Score,TotalHours,ReplyHours,HOURS/REPLY,Twitter Score,200 Hours,200 Replies,400 Hours,400 Replies,600 Hours,600 Replies,800 Hours,800 Replies,1000 Hours,1000 Replies
3.92,4,AGD,http://www.ag.gov.au/,,,75,3,4,37,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.656326531,10,DAFF,http://www.daff.gov.au/,@ABARES,https://www.facebook.com/pages/Australian-Bureau-of-Agricultural-Resource-Economics-Sciences-ABARES/157609254289602,73,2.92,0,7,3.72,241,49,4.918367347,3.016326531,27,13,186,23,2,10,26,3,0,0
8.411428571,8,DBCDE,http://www.dbcde.gov.au/,@DBCDEgov,,67,2.68,0,6,3.76,213,21,10.14285714,1.971428571,16,2,22,3,51,5,19,2,105,9
8.773333333,9,DoD,http://www.defence.gov.au/,@DeptDefence,,69,2.76,0,23,3.08,32,6,5.333333333,2.933333333,0,1,32,5,0,0,0,0,0,0
8.505882353,9,DEEWR,http://deewr.gov.au/,@DEEWRspokesman,,82,3.28,5,12,1.52,100,68,1.470588235,3.705882353,22,16,45,20,22,19,11,12,0,1
7.84,8,FaHCSIA,http://www.fahcsia.gov.au/,@FaHCSIA,http://www.facebook.com/FaHCSIA,71,2.84,0,29,2.84,138,15,9.2,2.16,82,9,56,5,0,1,0,0,0,0
4.44,4,DoFD,http://www.finance.gov.au/,,,74,2.96,6,3,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.554285714,10,DFAT,http://www.dfat.gov.au/,@dfat,,74,2.96,1,3,3.48,93,21,4.428571429,3.114285714,20,6,14,3,33,6,18,3,8,3
6.84,7,DHA,http://www.health.gov.au/,@HealthAgeingau,,72,2.88,3,21,1.96,220,22,10,2,0,0,0,0,105,9,61,5,54,8
9.450588235,9,DHS,http://www.humanservices.gov.au/,@HumanServicesAU,,82,3.28,0,10,3.6,243,34,7.147058824,2.570588235,240,32,3,2,0,0,0,0,0,0
5.502608696,6,DIAC,http://www.immi.gov.au/,@DIACAustralia,http://www.facebook.com/DepartmentofImmigrationandCitizenship,67,2.68,11,6,0.64,627,69,9.086956522,2.182608696,365,36,150,20,101,12,11,1,0,0
6.572307692,7,DIICCSRTE,http://www.innovation.gov.au/,@Aus_Industry,,64,2.56,1,57,1.32,255,39,6.538461538,2.692307692,5,3,70,6,53,10,81,10,46,10
6.16,6,DIT,http://www.infrastructure.gov.au/,,,73,2.92,1,9,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.297777778,8,DRALGAS,http://www.regional.gov.au/,@myregionGovAu,http://www.facebook.com/myregiongovau,75,3,1,27,2.52,55,9,6.111111111,2.777777778,25,4,0,0,23,2,2,2,5,1
4.4,4,DRET,http://www.ret.gov.au/,,,78,3.12,4,28,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.8,5,DSEWPC,http://www.environment.gov.au/,@envirogov,,75,3,4,15,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.6,6,DPMC,http://www.dpmc.gov.au/,,,79,3.16,2,19,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.236666667,8,DVA,http://www.dva.gov.au/,@DVAAus,,66,2.64,2,13,2.68,130,24,5.416666667,2.916666667,52,6,0,0,23,5,44,9,11,4
4.04,4,Treasury,http://www.treasury.gov.au/,@Treasury_AU,,70,2.8,6,9,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
