category,department,value
FOI Compliance,Health & Ageing,7
FOI Compliance,Regional Australia,26
FOI Compliance,Foreign Affairs & Trade,1
FOI Compliance,Immigration & Citizenship,1
FOI Compliance,Broadband & Communications,28
FOI Compliance,Attorney-General's,20
FOI Compliance,Finance & Deregulation,29
FOI Compliance,Prime Minister & Cabinet,22
FOI Compliance,"Resources, Energy & Tourism",27
FOI Compliance,Treasury,25
FOI Compliance,Sustainability & Environment,28
FOI Compliance,Veterans' Affairs,14
FOI Compliance,Education & Employment,27
FOI Compliance,Infrastructure & Transport,26
FOI Compliance,Defence,30
FOI Compliance,Families & Community Services,27
FOI Compliance,Human Services,29
FOI Compliance,"Agriculture, Fisheries & Forestry",30
FOI Compliance,Innovation,28
Financial Reporting,Health & Ageing,8
Financial Reporting,Regional Australia,4
Financial Reporting,Foreign Affairs & Trade,16
Financial Reporting,Immigration & Citizenship,11
Financial Reporting,Broadband & Communications,7
Financial Reporting,Attorney-General's,6
Financial Reporting,Finance & Deregulation,25
Financial Reporting,Prime Minister & Cabinet,9
Financial Reporting,"Resources, Energy & Tourism",12
Financial Reporting,Treasury,19
Financial Reporting,Sustainability & Environment,13
Financial Reporting,Veterans' Affairs,19
Financial Reporting,Education & Employment,5
Financial Reporting,Infrastructure & Transport,20
Financial Reporting,Defence,18
Financial Reporting,Families & Community Services,25
Financial Reporting,Human Services,15
Financial Reporting,"Agriculture, Fisheries & Forestry",9
Financial Reporting,Innovation,19
Open Data,Health & Ageing,13
Open Data,Regional Australia,4
Open Data,Foreign Affairs & Trade,19
Open Data,Immigration & Citizenship,20
Open Data,Broadband & Communications,17
Open Data,Attorney-General's,18
Open Data,Finance & Deregulation,2
Open Data,Prime Minister & Cabinet,11
Open Data,"Resources, Energy & Tourism",4
Open Data,Treasury,11
Open Data,Sustainability & Environment,8
Open Data,Veterans' Affairs,14
Open Data,Education & Employment,19
Open Data,Infrastructure & Transport,4
Open Data,Defence,6
Open Data,Families & Community Services,18
Open Data,Human Services,16
Open Data,"Agriculture, Fisheries & Forestry",18
Open Data,Innovation,18
Overdue QONs,Health & Ageing,1
Overdue QONs,Regional Australia,1
Overdue QONs,Foreign Affairs & Trade,1
Overdue QONs,Immigration & Citizenship,15
Overdue QONs,Broadband & Communications,1
Overdue QONs,Attorney-General's,7
Overdue QONs,Finance & Deregulation,1
Overdue QONs,Prime Minister & Cabinet,13
Overdue QONs,"Resources, Energy & Tourism",15
Overdue QONs,Treasury,1
Overdue QONs,Sustainability & Environment,10
Overdue QONs,Veterans' Affairs,15
Overdue QONs,Education & Employment,11
Overdue QONs,Infrastructure & Transport,15
Overdue QONs,Defence,15
Overdue QONs,Families & Community Services,1
Overdue QONs,Human Services,15
Overdue QONs,"Agriculture, Fisheries & Forestry",15
Overdue QONs,Innovation,15
Online Access,Health & Ageing,7
Online Access,Regional Australia,6
Online Access,Foreign Affairs & Trade,5
Online Access,Immigration & Citizenship,1
Online Access,Broadband & Communications,2
Online Access,Attorney-General's,5
Online Access,Finance & Deregulation,1
Online Access,Prime Minister & Cabinet,5
Online Access,"Resources, Energy & Tourism",2
Online Access,Treasury,5
Online Access,Sustainability & Environment,1
Online Access,Veterans' Affairs,2
Online Access,Education & Employment,7
Online Access,Infrastructure & Transport,5
Online Access,Defence,3
Online Access,Families & Community Services,3
Online Access,Human Services,1
Online Access,"Agriculture, Fisheries & Forestry",8
Online Access,Innovation,7
